Address,Type,Square Feet,Asking Price,Purchase Price
"Venus Ave, NNE",house,1407,360k,350k
"Pearl Street, Essex",house,1270,350k,360k
"James Ave, NNE",house,1528,325k,360k
"Maple St, Bton",house,1533,425k,400k
"River St, Winooski",condo,2263,380k,412k
"Logwod Circle, Essex",house,1620,370k,420k
"Iroquis Drive, Essex",house,2158,390k,425k
"North Ave, NNE",condo,1852,405k,427k
"Arthur Ct, Bton",condo,1579,390k,430k
"Victory Drive, SB",house,1796,396k,450k
"Laurel Hill Drive, SB",house,1935,432k,465k
"Baldwin Ave, SB",house,1555,430k,465k
"Whitewater cir, Williston",condo,2241,430k,475k
"Thorton St, Winooski",house,1554,440k,480k
"Rudgate Rd, Colchester",house,2312,450k,511k
"North St, Winooski",house,1759,485k,527k
"University Terrace, Bton",house,1272,489k,550k
"Devon Hill Ct, Essex",house,2530,485k,550k
"Juniper Ridge Rd, Essex",house,1863,495k,552k
"Colonial Dr, Colchester",house,1656,475k,590k
"Foster St, Bton",house,1489,519k,620k
"Meridan St, NNE",house,1824,410k,430k
"Sundown Dr, Williston",house,2270,435k,485k
"Cascade St, Essex",house,1623,418k,450k
"Sherry Rd, SB",house,1613,395k,441k
"Lapointe St, Winooski",house,1956,445k,480k
"Lafountain St, Winooski",house,1600,360k,360k
"stonehedge drive, SB",condo,1302,382k,
"Saratoga Ave, NNE",house,1428,425k,448k
