PROPERTY TYPE,CITY,ZIP,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET
Single Family Residential,Nashville,37208,399900,2,2,1187,8276,1930,337
Single Family Residential,Nashville,37027,460000,4,2.5,3564,11761,1998,129
Single Family Residential,Nashville,37206,599900,3,2.5,2276,7405,2001,264
Single Family Residential,Nashville,37206,520000,4,2.5,2490,10890,2015,209
Single Family Residential,Nashville,37027,775000,5,4,3639,52707,1972,213
Single Family Residential,Nashville,37220,879000,5,4,4215,21780,2017,209
Single Family Residential,Nashville,37208,165900,4,1.5,2962,7405,1920,56
Single Family Residential,Nashville,37211,390000,4,3,2217,15245,1998,176
Single Family Residential,Nashville,37217,299900,6,2,2994,13068,1983,100
Single Family Residential,Nashville,37013,159944,3,2,1762,3920,1997,91
Single Family Residential,Nashville,37212,479900,3,1.5,1203,6969,1925,399
Single Family Residential,Nashville,37207,229990,3,2.5,1440,6098,2017,160
Single Family Residential,Nashville,37207,243990,4,2.5,1680,6098,2017,145
Single Family Residential,Nashville,37211,399000,3,1.5,1700,26571,1959,235
Single Family Residential,Nashville,37072,175000,3,1.5,1275,12632,1963,137
Single Family Residential,Nashville,37209,794900,4,3.5,3220,6969,2013,247
Single Family Residential,Nashville,37221,384900,4,3,3128,9147,2002,123
Single Family Residential,Nashville,37209,369900,3,2.5,1616,,2014,229
Single Family Residential,Nashville,37217,239995,3,2,1722,13068,1987,139
Single Family Residential,Nashville,37138,112500,2,1,1207,7405,1930,93
Single Family Residential,Nashville,37215,415000,2,1,1251,20037,1950,332
Single Family Residential,Nashville,37221,329900,3,2.5,2178,8276,2016,151
Single Family Residential,Nashville,37076,359900,3,2.5,2840,,2017,127
Single Family Residential,Nashville,37206,259900,2,1,982,7405,1948,265
Single Family Residential,Nashville,37211,349900,3,2,2332,8276,2004,150
Single Family Residential,Nashville,37214,317900,3,2.5,2760,8712,2005,115
Single Family Residential,Nashville,37207,389900,3,3.5,2110,7840,2015,185
Single Family Residential,Nashville,37076,354900,4,3.5,2631,,2017,135
Single Family Residential,Nashville,37221,749900,4,3.5,3741,93218,2017,200
Single Family Residential,Nashville,37221,779900,4,3.5,3923,104979,2017,199
Single Family Residential,Nashville,37138,630000,3,2.5,3294,18295,2003,191
Single Family Residential,Nashville,37215,1375000,4,4.5,4366,32234,2017,315
Single Family Residential,Nashville,37216,274900,3,3,1294,13068,1948,212
Single Family Residential,Nashville,37013,234943,3,2.5,1932,9147,2000,122
Single Family Residential,Nashville,37205,2095000,4,5.5,7018,13503,1930,299
Single Family Residential,Nashville,37221,1070000,5,6.5,7424,113256,1969,144
Single Family Residential,Nashville,37208,439500,3,3,1536,7797,2015,286
Single Family Residential,Nashville,37013,254762,3,2.5,1688,,2017,151
Single Family Residential,Nashville,37013,262262,3,2.5,1688,,2017,155
Single Family Residential,Nashville,37076,359750,4,3,2650,7405,2008,136
Single Family Residential,Nashville,37215,599900,4,3.5,3230,7840,1987,186
Single Family Residential,Nashville,37205,865000,3,4.5,4663,8712,1986,186
Single Family Residential,Nashville,37013,289000,4,3.5,2882,6969,1988,100
Single Family Residential,Nashville,37209,374900,3,2,1444,16988,1964,260
Single Family Residential,Nashville,37205,479900,4,2,2668,57934,1959,180
Single Family Residential,Nashville,37207,200000,3,2,1038,9147,2003,193
Single Family Residential,Nashville,37206,499900,4,3,2800,7840,2008,179
Single Family Residential,Nashville,37013,315900,4,2.5,3046,12196,2001,104
Single Family Residential,Nashville,37076,415000,3,3.5,2978,10890,2017,139
Single Family Residential,Nashville,37221,889900,5,4.5,4713,281397,2017,189
Single Family Residential,Nashville,37076,429900,4,3,2817,13939,2017,153
Single Family Residential,Nashville,37122,464400,4,4,3486,8712,2018,133
Single Family Residential,Nashville,37215,449900,3,2,1756,14810,1950,256
Single Family Residential,Nashville,37217,220000,4,2,1576,11325,1967,140
Single Family Residential,Nashville,37212,897000,5,4.5,3907,11761,1945,230
Single Family Residential,Nashville,37209,299900,3,3,1650,4356,1946,182
Single Family Residential,Nashville,37211,229900,3,1,1153,8712,1947,199
Single Family Residential,Nashville,37207,259900,4,2,1350,10890,1963,193
Single Family Residential,Nashville,37138,219000,3,2,2000,6969,1996,110
Single Family Residential,Nashville,37013,235000,3,2.5,1650,6969,2005,142
Single Family Residential,Nashville,37221,289999,3,3.5,1736,3049,2016,167
Single Family Residential,Nashville,37216,465500,3,2.5,2516,11325,1951,185
Single Family Residential,Nashville,37027,599900,5,3.5,3639,45302,1967,165
Single Family Residential,Nashville,37204,575000,3,3,3125,24393,1945,184
Single Family Residential,Nashville,37209,474900,4,2,2122,13503,1997,224
