"date","game_type","age","team","opp","season_game","location","time_played","made2","attempt2","per2","made3","attempt3","per3","made1","attempt1","per1","orb","drb","trb","ast","stl","blk","tov","personal_foul","points","game_score","result","score_diff"
2003-10-29,"Reg Season",18.8301369863014,"CLE","SAC",1,"away",42.8333333333333,12,20,0.6,0,2,0,1,3,0.333,2,4,6,9,4,0,2,3,25,24.7,"Lost",-14
2003-10-30,"Reg Season",18.8328767123288,"CLE","PHO",2,"away",40.35,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,1,21,14.7,"Lost",-9
2003-11-01,"Reg Season",18.8383561643836,"CLE","POR",3,"away",39.1666666666667,3,12,0.25,0,1,0,2,2,1,0,4,4,6,2,0,2,3,8,5,"Lost",-19
2003-11-05,"Reg Season",18.8493150684932,"CLE","DEN",4,"home",41.1,3,11,0.273,0,2,0,1,1,1,2,9,11,7,2,3,2,1,7,11.2,"Lost",-4
2003-11-07,"Reg Season",18.8547945205479,"CLE","IND",5,"away",43.7333333333333,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,2,23,9,"Lost",-1
2003-11-08,"Reg Season",18.8575342465753,"CLE","WAS",6,"home",44.5,8,19,0.421,0,0,NA,1,4,0.25,5,3,8,9,1,1,2,1,17,15.7,"Won",13
2003-11-10,"Reg Season",18.8630136986301,"CLE","NYK",7,"home",33.65,7,12,0.583,3,3,1,0,0,NA,1,4,5,4,1,1,2,0,17,15.8,"Won",14
2003-11-12,"Reg Season",18.8684931506849,"CLE","MIA",8,"away",42.6666666666667,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,3,18,12.8,"Lost",-5
2003-11-14,"Reg Season",18.8739726027397,"CLE","BOS",9,"away",35.6,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,10,0.8,"Lost",-9
2003-11-15,"Reg Season",18.8767123287671,"CLE","PHI",10,"home",46.95,10,19,0.526,0,1,0,2,4,0.5,0,5,5,8,1,2,5,2,22,15.6,"Won",3
2003-11-18,"Reg Season",18.8849315068493,"CLE","LAC",11,"home",39.4166666666667,6,16,0.375,0,2,0,2,4,0.5,2,5,7,8,0,1,3,2,14,9.8,"Won",8
2003-11-19,"Reg Season",18.8876712328767,"CLE","WAS",12,"away",39.15,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,28,25,"Lost",-11
2003-11-21,"Reg Season",18.8931506849315,"CLE","MIN",13,"home",35.3,8,19,0.421,0,2,0,3,3,1,2,7,9,2,1,0,1,4,19,12.2,"Lost",-14
