Season Type,game,Season,Game Date,Series,team,Home,Opp,game_in_series,,GS,MP,made2,attempt3,per2,made3,attempt3,per3,made1,attempt1,per1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,game score,Game Result,Point Diff
Regular,1,2006/07,11/1/2006,NA,CLE,Home,WAS,,W (+3),1,40:38:00,11,24,0.458,2,4,0.5,2,6,0.333,3,7,10,5,0,2,5,2,30,15.3,Win,3.00
Regular,2,2006/07,11/3/2006,NA,CLE,Away,SAS,,W (+7),1,41:53:00,14,26,0.538,1,2,0.5,6,11,0.545,1,9,10,4,1,1,2,3,37,25.1,Win,7.00
Regular,3,2006/07,11/4/2006,NA,CLE,Away,CHA,,L (-4),1,38:06:00,3,13,0.231,1,3,0.333,9,10,0.9,4,5,9,7,0,1,2,0,18,15.6,Loss,-4.00
Regular,4,2006/07,11/7/2006,NA,CLE,Home,ATL,,L (-9),1,47:17:00,13,26,0.5,3,8,0.375,5,11,0.455,0,7,7,6,2,1,2,1,40,25.2,Loss,-9.00
Regular,5,2006/07,11/9/2006,NA,CLE,Home,CHI,,W (+19),1,37:50:00,6,13,0.462,0,1,0,7,8,0.875,0,4,4,12,3,2,3,0,19,22.9,Win,19.00
Regular,6,2006/07,11/11/2006,NA,CLE,Home,BOS,,W (+1),1,43:32:00,9,17,0.529,1,4,0.25,19,23,0.826,1,7,8,5,3,0,2,4,40,33.8,Win,1.00
Regular,7,2006/07,11/13/2006,NA,CLE,Away,NYK,,W (+6),1,41:20:00,10,19,0.526,3,4,0.75,6,9,0.667,0,4,4,6,2,1,3,2,35,22.8,Win,6.00
Regular,8,2006/07,11/15/2006,NA,CLE,Home,POR,,W (+13),1,38:54:00,10,15,0.667,3,6,0.5,9,11,0.818,0,7,7,7,2,1,4,2,38,29.6,Win,13.00
Regular,9,2006/07,11/17/2006,NA,CLE,Home,MIN,,W (+16),1,40:30:00,12,24,0.5,2,5,0.4,11,14,0.786,2,7,9,6,1,2,4,1,41,29.5,Win,16.00
Regular,10,2006/07,11/18/2006,NA,CLE,Away,WAS,,L (-12),1,33:20:00,8,20,0.4,0,1,0,4,5,0.8,2,3,5,4,2,0,3,2,20,12.1,Loss,-12.00
Regular,11,2006/07,11/21/2006,NA,CLE,Home,MEM,,W (+3),1,41:59:00,7,21,0.333,1,5,0.2,0,1,0,0,1,1,9,3,1,3,1,17,9.6,Win,3.00
Regular,12,2006/07,11/22/2006,NA,CLE,Away,TOR,,L (-8),1,39:55:00,11,24,0.458,2,7,0.286,6,9,0.667,0,10,10,8,4,0,2,1,34,26.6,Loss,-8.00
Regular,13,2006/07,11/24/2006,NA,CLE,Away,IND,,L (-10),1,42:26:00,6,14,0.429,2,2,1,16,20,0.8,1,6,7,5,1,0,3,6,34,22.6,Loss,-10.00
Regular,14,2006/07,11/25/2006,NA,CLE,Home,PHI,,W (+13),1,40:50:00,10,20,0.5,1,4,0.25,4,7,0.571,0,4,4,11,0,1,7,4,27,14.8,Win,13.00
Regular,15,2006/07,11/29/2006,NA,CLE,Home,NYK,,L (-3),1,41:11:00,10,22,0.455,0,5,0,7,11,0.636,1,6,7,6,0,1,5,1,27,16,Loss,-3.00
Regular,16,2006/07,12/1/2006,NA,CLE,Away,ATL,,W (+11),1,42:55:00,12,23,0.522,1,3,0.333,6,10,0.6,2,5,7,8,3,2,4,4,33,25.4,Win,11.00
Regular,17,2006/07,12/2/2006,NA,CLE,Away,HOU,,L (-18),1,35:44:00,7,22,0.318,2,6,0.333,5,7,0.714,1,4,5,4,0,0,3,2,25,8.5,Loss,-18.00
Regular,18,2006/07,12/6/2006,NA,CLE,Home,TOR,,W (+4),1,40:30:00,11,18,0.611,1,2,0.5,3,5,0.6,1,5,6,10,1,0,4,1,28,22.8,Win,4.00
Regular,19,2006/07,12/9/2006,NA,CLE,Home,IND,,W (+32),1,31:52:00,11,16,0.688,1,3,0.333,4,6,0.667,0,7,7,6,1,1,3,0,29,24.4,Win,32.00
Regular,20,2006/07,12/11/2006,NA,CLE,Away,NOK,,L (-6),1,41:36:00,7,18,0.389,0,3,0,1,1,1,3,4,7,6,4,0,3,1,15,13.3,Loss,-6.00
Regular,21,2006/07,12/13/2006,NA,CLE,Home,CHA,,W (+3),1,41:37:00,6,17,0.353,0,2,0,10,11,0.909,1,7,8,7,1,1,6,1,22,15.1,Win,3.00
Regular,22,2006/07,12/15/2006,NA,CLE,Home,SEA,,W (+22),1,33:37:00,9,14,0.643,2,3,0.667,2,3,0.667,0,9,9,7,1,0,4,3,26,18.8,Win,22.00
Regular,23,2006/07,12/16/2006,NA,CLE,Away,ORL,,L (-7),1,41:03:00,10,19,0.526,2,5,0.4,7,9,0.778,1,4,5,5,0,1,4,4,33,19.4,Loss,-7.00
Regular,24,2006/07,12/20/2006,NA,CLE,Away,NJN,,L (-2),1,40:11:00,10,22,0.455,1,3,0.333,16,21,0.762,0,1,1,8,2,1,3,4,39,27.6,Loss,-2.00
Regular,25,2006/07,12/21/2006,NA,CLE,Home,DET,,L (-16),1,43:00:00,9,20,0.45,0,1,0,8,8,1,2,8,10,5,2,0,1,1,26,23.5,Loss,-16.00
Regular,26,2006/07,12/23/2006,NA,CLE,Home,ORL,,W (+3),1,42:54:00,13,21,0.619,2,3,0.667,4,10,0.4,0,7,7,1,0,0,7,1,36,15.5,Win,3.00
Regular,27,2006/07,12/27/2006,NA,CLE,Away,ATL,,W (+13),1,39:31:00,10,25,0.4,1,2,0.5,6,8,0.75,1,8,9,3,1,2,1,1,29,18.9,Win,13.00
Regular,28,2006/07,12/29/2006,NA,CLE,Home,MIL,,W (+10),1,44:01:00,11,21,0.524,2,6,0.333,8,13,0.615,1,3,4,5,1,1,3,5,36,21.5,Win,10.00
Regular,29,2006/07,12/30/2006,NA,CLE,Away,CHI,,L (-7),1,40:19:00,15,26,0.577,3,4,0.75,0,3,0,2,7,9,3,1,0,5,4,39,19.6,Loss,-7.00
Regular,30,2006/07,1/2/2007,NA,CLE,Home,SAS,,W (+4),1,40:14:00,7,17,0.412,0,1,0,5,11,0.455,0,5,5,5,2,0,3,1,19,11.1,Win,4.00
Regular,31,2006/07,1/3/2007,NA,CLE,Away,BOS,,W (+3),1,44:47:00,11,20,0.55,2,3,0.667,8,10,0.8,1,5,6,4,3,1,3,0,36,27.3,Win,3.00
Regular,32,2006/07,1/5/2007,NA,CLE,Away,MIL,,W (+9),1,42:50:00,3,13,0.231,0,4,0,2,2,1,0,5,5,9,1,0,2,1,8,6.5,Win,9.00
Regular,33,2006/07,1/6/2007,NA,CLE,Home,NJN,,W (+5),1,44:00:00,9,21,0.429,1,3,0.333,0,0,,0,13,13,4,3,3,5,4,21,13.1,Win,5.00
Regular,34,2006/07,1/9/2007,NA,CLE,Away,SAC,,W (+10),1,43:25:00,14,26,0.538,3,7,0.429,3,3,1,1,3,4,7,2,1,3,3,40,26.4,Win,10.00
Regular,35,2006/07,1/11/2007,NA,CLE,Away,PHO,,L (-19),1,38:49:00,15,28,0.536,3,9,0.333,1,2,0.5,2,4,6,6,1,0,5,2,40,22,Loss,-19.00
Regular,36,2006/07,1/13/2007,NA,CLE,Away,LAC,,W (+12),1,42:02:00,10,23,0.435,0,1,0,8,8,1,1,5,6,6,1,0,2,4,28,19.7,Win,12.00
Regular,37,2006/07,1/16/2007,NA,CLE,Away,SEA,,L (-5),1,43:34:00,8,21,0.381,1,7,0.143,13,15,0.867,1,6,7,8,2,1,4,0,32,24.5,Loss,-5.00
Regular,38,2006/07,1/17/2007,NA,CLE,Away,POR,,L (-18),1,35:07:00,8,21,0.381,1,4,0.25,6,13,0.462,3,3,6,2,1,0,4,0,25,10.1,Loss,-18.00
Regular,39,2006/07,1/19/2007,NA,CLE,Away,DEN,,L (-11),1,43:52:00,9,23,0.391,0,1,0,12,14,0.857,2,8,10,10,2,0,3,2,30,25.7,Loss,-11.00
Regular,40,2006/07,1/20/2007,NA,CLE,Away,GSW,,W (+2),1,45:52:00,14,22,0.636,2,7,0.286,2,5,0.4,0,7,7,5,4,0,9,2,36,20.8,Win,2.00
Regular,41,2006/07,1/22/2007,NA,CLE,Home,ORL,,L (-11),1,43:23:00,6,15,0.4,0,3,0,6,13,0.462,0,4,4,5,3,0,2,2,18,12,Loss,-11.00
Regular,42,2006/07,1/24/2007,NA,CLE,Home,PHI,,L (-3),1,53:10:00,14,26,0.538,3,8,0.375,8,13,0.615,2,8,10,5,1,0,4,2,45,27.9,Loss,-3.00
Regular,43,2006/07,1/28/2007,NA,CLE,Home,PHO,,L (-15),1,42:04:00,12,22,0.545,3,6,0.5,3,6,0.5,2,7,9,5,2,0,3,2,36,23.4,Loss,-15.00
Regular,44,2006/07,2/1/2007,NA,CLE,Away,MIA,,L (-3),1,35:35:00,6,18,0.333,2,7,0.286,3,8,0.375,1,5,6,9,1,0,2,4,21,10.7,Loss,-3.00
Regular,45,2006/07,2/2/2007,NA,CLE,Home,CHA,,W (+20),1,35:39:00,7,13,0.538,0,1,0,4,8,0.5,1,9,10,3,2,0,1,1,18,16.2,Win,20.00
Regular,46,2006/07,2/4/2007,NA,CLE,Home,DET,,L (-12),1,43:17:00,9,22,0.409,1,4,0.25,2,3,0.667,0,5,5,6,2,0,3,2,23,12.7,Loss,-12.00
Regular,47,2006/07,2/7/2007,NA,CLE,Home,LAC,,W (+17),1,36:19:00,4,13,0.308,1,2,0.5,2,2,1,0,7,7,3,1,1,2,1,13,7,Win,17.00
Regular,48,2006/07,2/9/2007,NA,CLE,Home,MIA,,W (+24),1,41:08:00,12,22,0.545,1,4,0.25,4,8,0.5,1,6,7,6,0,0,2,1,31,21.1,Win,24.00
Regular,49,2006/07,2/11/2007,NA,CLE,Home,LAL,,W (+9),1,38:21:00,5,16,0.313,0,2,0,8,12,0.667,1,7,8,5,1,1,1,3,18,13,Win,9.00
Regular,50,2006/07,2/14/2007,NA,CLE,Away,UTA,,L (-1),1,42:39:00,9,25,0.36,0,3,0,5,9,0.556,3,7,10,4,1,3,0,2,23,16.8,Loss,-1.00
Regular,51,2006/07,2/15/2007,NA,CLE,Away,LAL,,W (+6),1,39:48:00,10,16,0.625,0,1,0,18,22,0.818,0,4,4,3,3,0,3,4,38,30.9,Win,6.00
Regular,52,2006/07,2/21/2007,NA,CLE,Away,TOR,,W (+1),1,36:49:00,12,25,0.48,0,1,0,5,5,1,0,4,4,2,1,1,3,3,29,16.4,Win,1.00
Regular,53,2006/07,2/22/2007,NA,CLE,Home,CHI,,L (-6),1,42:58:00,13,28,0.464,1,4,0.25,2,8,0.25,3,4,7,2,3,0,3,1,31,16.5,Loss,-6.00
Regular,54,2006/07,2/25/2007,NA,CLE,Away,MIA,,L (-5),1,41:30:00,10,22,0.455,2,5,0.4,7,12,0.583,0,3,3,7,0,1,2,2,33,19.3,Loss,-5.00
