Date,Distance,move_time,total_time,Elevation,max_speed
06-23-2023,3.11,22,23,119,15.2
06-27-2023,4.41,27,28,134,21.8
06-30-2023,1.41,11,18,14,17.4
07-02-2023,4.72,28,28,143,18
06-27-2023,1.33,8,11,18,16.3
06-28-2023,9.29,60,61,94,34.4
06-29-2023,4.6,32,32,65,15.2
06-30-2023,8.33,55,165,150,65.8
07-01-2023,2.18,13,13,82,20.1
07-02-2023,2.64,18,45,13,16.8
07-04-2023,11.16,67,70,137,17.2
07-14-2023,15.51,78,206,517,53.1
07-15-2023,2.92,21,60,19,17.7
07-15-2023,8.91,45,47,92,17.3
07-17-2023,11.49,59,65,164,18.3
07-19-2023,1.95,15,20,13,17.6
07-20-2023,4.68,25,41,68,58.8
07-20-2023,4.1,32,34,33,18.5
07-20-2023,4.2,32,36,92,18.7
07-21-2023,25.47,140,231,494,30.7
07-22-2023,2.41,16,18,11,13.8
07-23-2023,12.8,65,68,167,32.5
07-24-2023,10.65,82,103,145,18.8
07-25-2023,18.77,104,137,208,17.9
07-26-2023,2.71,17,50,19,15.2
07-26-2023,9.22,52,87,113,16.8
07-27-2023,12,94,129,161,17.5
07-28-2023,20.97,141,195,653,21.8
07-30-2023,5.59,78,223,93,16.2
07-30-2023,5.9,30,32,176,18.5
07-31-2023,9.81,72,194,108,30.2
08-02-2023,13.48,77,110,185,22.9
08-02-2023,8.64,67,121,104,18.3
08-03-2023,2.89,20,68,19,16.8
08-05-2023,11.93,78,118,148,16.7
08-05-2023,12.17,62,71,165,20
08-06-2023,11.67,84,120,157,38
08-07-2023,10.96,56,59,478,42.7
08-09-2023,18.01,93,123,186,21.1
08-10-2023,4.85,34,37,147,16.9
08-10-2023,12.69,69,157,202,20.7
08-11-2023,13.34,87,284,194,17.2
08-12-2023,13.13,103,189,170,25.4
08-13-2023,15.41,78,83,357,20
08-13-2023,12.54,89,98,187,16.6
08-15-2023,27.15,120,173,344,21.2
08-16-2023,9.07,64,102,128,38.2
08-17-2023,13.83,98,134,256,41.9
08-20-2023,12.66,61,67,204,20.8
8-21-2023,5.71,50,94,323,39.4
08-21-2023,5.54,28,29,135,47.7
08-22-2023,5.28,31,33,321,34.7
08-22-2023,5.27,26,28,143,31.2
08-23-2023,26.05,134,234,380,21.8
08-24-2023,3.25,22,25,280,19.9
08-24-2023,6.08,27,28,164,46.4
08-26-2023,12.76,82,147,207,16.7
08-27-2023,17.37,115,139,180,18.4
