"show","episode","season","episode_num","startYear","runtimeMinutes","ep_rating","ep_votes","show_rating","show_votes"
"The Family Man","Throw Momma from the House",1,19,1991,NA,7.8,7,6.9,39
"Twin Peaks","Traces to Nowhere",1,2,1990,46,8.3,5486,8.8,198286
"Twin Peaks","Episode #1.3",1,3,1990,47,8.9,5785,8.8,198286
"Twin Peaks","Episode #1.4",1,4,1990,47,8.2,4871,8.8,198286
"Twin Peaks","Episode #1.5",1,5,1990,47,8.1,4672,8.8,198286
"Twin Peaks","Episode #1.6",1,6,1990,47,8.4,4566,8.8,198286
"Twin Peaks","Episode #1.7",1,7,1990,46,8.5,4458,8.8,198286
"Twin Peaks","Episode #1.8",1,8,1990,46,9,4962,8.8,198286
"Twin Peaks","May the Giant Be with You",2,1,1990,93,8.9,4864,8.8,198286
"Twin Peaks","Coma",2,2,1990,46,8.5,4141,8.8,198286
"Twin Peaks","The Man Behind the Glass",2,3,1990,47,8.2,3858,8.8,198286
"Twin Peaks","Laura's Secret Diary",2,4,1990,47,8,3795,8.8,198286
"Twin Peaks","The Orchids Curse",2,5,1990,47,8.3,3809,8.8,198286
"Twin Peaks","Demons",2,6,1990,47,8.4,3817,8.8,198286
"Twin Peaks","Lonely Souls",2,7,1990,47,9.4,5496,8.8,198286
"Twin Peaks","Drive with a Dead Girl",2,8,1990,47,8.5,3786,8.8,198286
"Twin Peaks","Arbitrary Law",2,9,1990,46,9.3,4729,8.8,198286
"Twin Peaks","Dispute Between Brothers",2,10,1990,47,7.7,3607,8.8,198286
"Twin Peaks","Masked Ball",2,11,1990,47,7.3,3551,8.8,198286
"Twin Peaks","The Black Widow",2,12,1991,46,7.4,3476,8.8,198286
"Twin Peaks","Checkmate",2,13,1991,46,7.6,3449,8.8,198286
"Twin Peaks","Double Play",2,14,1991,46,7.5,3420,8.8,198286
"Twin Peaks","Slaves and Masters",2,15,1991,46,7.2,3434,8.8,198286
"Twin Peaks","The Condemned Woman",2,16,1991,47,7.7,3389,8.8,198286
"Twin Peaks","Wounds and Scars",2,17,1991,46,7.4,3334,8.8,198286
"Twin Peaks","On the Wings of Love",2,18,1991,46,7.9,3356,8.8,198286
"Twin Peaks","Variations and Relations",2,19,1991,47,7.9,3317,8.8,198286
"Twin Peaks","The Path to the Black Lodge",2,20,1991,46,8.2,3340,8.8,198286
"Twin Peaks","Miss Twin Peaks",2,21,1991,46,8.5,3483,8.8,198286
"Twin Peaks","Beyond Life and Death",2,22,1991,50,9.2,5401,8.8,198286
"Oz","The Routine",1,1,1997,54,8.5,2790,8.7,99897
"Oz","Visits, Conjugal and Otherwise",1,2,1997,57,8.2,2388,8.7,99897
