STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/1/1940,0.19,,,,27,5
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/2/1940,0.03,,,,19,-3
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/3/1940,0.01,,,,10,-18
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/4/1940,0.04,,,,22,-20
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/5/1940,0.06,,,,29,13
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/6/1940,0.01,,,,22,-3
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/7/1940,0.01,,,,38,22
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/8/1940,0,,,,40,27
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/9/1940,0,,,,27,6
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/10/1940,0,,,,41,9
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/11/1940,0,,,,27,13
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/12/1940,0.53,,,,35,18
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/13/1940,0.05,,,,33,2
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/14/1940,0,,,,23,-4
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/15/1940,0,,,,28,3
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/16/1940,0.19,,,,37,14
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/17/1940,0.01,,,,39,8
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/18/1940,0,,,,29,7
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/19/1940,0,,,,34,26
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/20/1940,0,,,,40,33
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/21/1940,0,,,,37,30
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/22/1940,0.03,,,,35,28
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/23/1940,0.01,,,,29,5
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/24/1940,0,,,,34,5
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/25/1940,0,,,,42,14
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/26/1940,0,,,,36,16
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/27/1940,0.01,,,,40,32
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/28/1940,0.85,,,,41,32
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/29/1940,0.56,,,,38,33
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/30/1940,0.15,,,,39,34
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",12/31/1940,0,,,,36,27
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1/1/1941,0,,,,30,18
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1/2/1941,0.03,,,,29,12
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1/3/1941,0.03,,,,36,27
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1/4/1941,0.29,,,,34,24
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1/5/1941,0.04,,,,28,23
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1/6/1941,0,,,,23,-2
