drive_id,drive_start,drive_end
2018_02_DET_SF_8,Fumble,Field Goal
2019_06_HOU_KC_3,Fumble,Field Goal
2019_16_GB_MIN_2,Fumble,Field Goal
2016_09_ATL_TB_4,Fumble,Field Goal
2020_03_TEN_MIN_5,Fumble,Field Goal
2018_10_DET_CHI_13,Fumble,Field Goal
2018_04_NO_NYG_7,Fumble,Field Goal
2017_04_TEN_HOU_23,Fumble,Field Goal
2021_05_CLE_LAC_10,Fumble,Field Goal
2019_09_CLE_DEN_10,Fumble,Field Goal
2020_02_NYG_CHI_3,Fumble,Field Goal
2016_10_SF_ARI_15,Fumble,Field Goal
2020_04_NE_KC_8,Fumble,Field Goal
2016_15_DET_NYG_7,Fumble,Field Goal
2021_01_DEN_NYG_12,Fumble,Field Goal
2017_15_ATL_TB_7,Fumble,Field Goal
2021_14_DAL_WAS_19,Fumble,Field Goal
2017_04_CIN_CLE_3,Fumble,Field Goal
2016_07_HOU_DEN_19,Fumble,Field Goal
2021_16_LAC_HOU_14,Fumble,Field Goal
2016_04_MIA_CIN_11,Fumble,Field Goal
2016_14_DEN_TEN_4,Fumble,Field Goal
2020_07_CLE_CIN_6,Fumble,Field Goal
2018_01_BUF_BAL_10,Fumble,Field Goal
2019_17_PIT_BAL_13,Fumble,Field Goal
2018_04_SEA_ARI_5,Fumble,Field Goal
2019_13_NO_ATL_21,Fumble,Field Goal
2016_09_JAX_KC_16,Fumble,Field Goal
2021_02_CIN_CHI_12,Fumble,Field Goal
2016_16_NYJ_NE_8,Fumble,Field Goal
2018_07_LA_SF_3,Fumble,Field Goal
2020_17_ATL_TB_7,Fumble,Field Goal
2016_03_SF_SEA_8,Fumble,Field Goal
2018_01_NYJ_DET_8,Fumble,Field Goal
2017_15_LA_SEA_2,Fumble,Field Goal
2018_14_NYJ_BUF_4,Fumble,Field Goal
2017_04_DET_MIN_11,Fumble,Field Goal
2020_03_SF_NYG_3,Fumble,Field Goal
2018_13_LA_DET_14,Fumble,Field Goal
2019_05_CLE_SF_8,Fumble,Field Goal
2016_05_PHI_DET_16,Fumble,Field Goal
2019_16_BUF_NE_2,Fumble,Field Goal
2018_02_NYG_DAL_13,Fumble,Field Goal
2019_07_JAX_CIN_16,Fumble,Field Goal
2021_15_WAS_PHI_5,Fumble,Field Goal
2021_15_MIN_CHI_5,Fumble,Field Goal
2016_06_DAL_GB_6,Fumble,Field Goal
2021_07_KC_TEN_9,Fumble,Field Goal
2017_06_LA_JAX_20,Fumble,Field Goal
2019_07_LA_ATL_19,Fumble,Field Goal
2017_05_BUF_CIN_18,Fumble,Field Goal
2017_03_LA_SF_6,Fumble,Field Goal
2018_04_BUF_GB_23,Fumble,Field Goal
2020_15_DET_TEN_11,Fumble,Punt
2017_10_CIN_TEN_20,Fumble,Punt
2019_08_CLE_NE_6,Fumble,Punt
