title,season,episode,type,day,month,year,dr_actor,dr_number,writer,director,duration,viewers,rating
Rose,1,1,episode,26,3,2005,Christopher Eccleston,9,Russell T Davies,Keith Boak,45,10.81,76
The End of the World,1,2,episode,2,4,2005,Christopher Eccleston,9,Russell T Davies,Euros Lyn,44,7.97,76
The Unquiet Dead,1,3,episode,9,4,2005,Christopher Eccleston,9,Mark Gatiss,Euros Lyn,44,8.86,80
Aliens of London,1,4,episode,16,4,2005,Christopher Eccleston,9,Russell T Davies,Keith Boak,45,7.63,82
World War Three,1,5,episode,23,4,2005,Christopher Eccleston,9,Russell T Davies,Keith Boak,42,7.98,81
Dalek,1,6,episode,30,4,2005,Christopher Eccleston,9,Robert Shearman,Joe Ahearne,45,8.63,84
The Long Game,1,7,episode,7,5,2005,Christopher Eccleston,9,Russell T Davies,Brian Grant,44,8.01,81
Father's Day,1,8,episode,14,5,2005,Christopher Eccleston,9,Paul Cornell,Joe Ahearne,45,8.06,83
The Empty Child,1,9,episode,21,5,2005,Christopher Eccleston,9,Steven Moffat,James Hawes,45,7.11,84
The Doctor Dances,1,10,episode,28,5,2005,Christopher Eccleston,9,Steven Moffat,James Hawes,45,6.86,85
Boom Town,1,11,episode,4,6,2005,Christopher Eccleston,9,Russell T Davies,Joe Ahearne,45,7.68,82
Bad Wolf,1,12,episode,11,6,2005,Christopher Eccleston,9,Russell T Davies,Joe Ahearne,45,6.81,86
The Parting of the Ways,1,13,episode,18,6,2005,Christopher Eccleston,9,Russell T Davies,Joe Ahearne,45,6.91,89
The Christmas Invasion,2,NA,special,25,12,2005,David Tennant,10,Russell T Davies,James Hawes,60,9.84,84
New Earth,2,1,episode,15,4,2006,David Tennant,10,Russell T Davies,James Hawes,45,8.62,85
Tooth and Claw,2,2,episode,22,4,2006,David Tennant,10,Russell T Davies,Euros Lyn,45,9.24,83
School Reunion,2,3,episode,29,4,2006,David Tennant,10,Toby Whithouse,James Hawes,45,8.31,85
The Girl in the Fireplace,2,4,episode,6,5,2006,David Tennant,10,Steven Moffat,Euros Lyn,45,7.9,84
Rise of the Cybermen,2,5,episode,13,5,2006,David Tennant,10,Tom MacRae,Graeme Harper,45,9.22,86
The Age of Steel,2,6,episode,20,5,2006,David Tennant,10,Tom MacRae,Graeme Harper,45,7.63,86
The Idiot's Lantern,2,7,episode,27,5,2006,David Tennant,10,Mark Gatiss,Euros Lyn,45,6.76,84
The Impossible Planet,2,8,episode,3,6,2006,David Tennant,10,Matt Jones,James Strong,45,6.32,85
The Satan Pit,2,9,episode,10,6,2006,David Tennant,10,Matt Jones,James Strong,45,6.08,86
Love & Monsters,2,10,episode,17,6,2006,David Tennant,10,Russell T Davies,Dan Zeff,45,6.66,76
Fear Her,2,11,episode,24,6,2006,David Tennant,10,Matthew Graham,Euros Lyn,45,7.14,83
Army of Ghosts,2,12,episode,1,7,2006,David Tennant,10,Russell T Davies,Graeme Harper,45,8.19,86
Doomsday,2,13,episode,8,7,2006,David Tennant,10,Russell T Davies,Graeme Harper,45,8.22,89
The Runaway Bride,3,NA,special,25,12,2006,David Tennant,10,Russell T Davies,Euros Lyn,60,9.35,84
Smith and Jones,3,1,episode,31,3,2007,David Tennant,10,Russell T Davies,Charles Palmer,45,8.71,88
The Shakespeare Code,3,2,episode,7,4,2007,David Tennant,10,Gareth Roberts,Charles Palmer,45,7.23,87
Gridlock,3,3,episode,14,4,2007,David Tennant,10,Russell T Davies,Richard Clark,45,8.41,85
Daleks in Manhattan,3,4,episode,21,4,2007,David Tennant,10,Helen Raynor,James Strong,45,6.69,86
Evolution of the Daleks,3,5,episode,28,4,2007,David Tennant,10,Helen Raynor,James Strong,45,6.97,85
The Lazarus Experiment,3,6,episode,5,5,2007,David Tennant,10,Stephen Greenhorn,Richard Clark,45,7.19,86
42,3,7,episode,19,5,2007,David Tennant,10,Chris Chibnall,Graeme Harper,45,7.41,85
Human Nature,3,8,episode,26,5,2007,David Tennant,10,Paul Cornell,Charles Palmer,45,7.74,86
The Family of Blood,3,9,episode,2,6,2007,David Tennant,10,Paul Cornell,Charles Palmer,45,7.21,86
Blink,3,10,episode,9,6,2007,David Tennant,10,Steven Moffat,Hettie MacDonald,45,6.62,87
Utopia,3,11,episode,16,6,2007,David Tennant,10,Russell T Davies,Graeme Harper,45,7.84,87
The Sound of Drums,3,12,episode,23,6,2007,David Tennant,10,Russell T Davies,Colin Teague,45,7.51,87
Last of the Time Lords,3,13,episode,30,6,2007,David Tennant,10,Russell T Davies,Colin Teague,52,8.61,88
Voyage of the Damned,4,NA,special,25,12,2007,David Tennant,10,Russell T Davies,James Strong,72,13.31,86
Partners in Crime,4,1,episode,5,4,2008,David Tennant,10,Russell T Davies,James Strong,50,9.14,88
The Fires of Pompeii,4,2,episode,12,4,2008,David Tennant,10,James Moran,Colin Teague,50,9.04,87
Planet of the Ood,4,3,episode,19,4,2008,David Tennant,10,Keith Temple,Graeme Harper,45,7.5,87
The Sontaran Stratagem,4,4,episode,26,4,2008,David Tennant,10,Helen Raynor,Douglas Mackinnon,45,7.06,87
The Poison Sky,4,5,episode,3,5,2008,David Tennant,10,Helen Raynor,Douglas Mackinnon,45,6.53,88
The Doctor's Daughter,4,6,episode,10,5,2008,David Tennant,10,Stephen Greenhorn,Alice Troughton,45,7.33,88
The Unicorn and the Wasp,4,7,episode,17,5,2008,David Tennant,10,Gareth Roberts,Graeme Harper,45,8.41,86
Silence in the Library,4,8,episode,31,5,2008,David Tennant,10,Steven Moffat,Euros Lyn,45,6.27,89
Forest of the Dead,4,9,episode,7,6,2008,David Tennant,10,Steven Moffat,Euros Lyn,45,7.84,89
Midnight,4,10,episode,14,6,2008,David Tennant,10,Russell T Davies,Alice Troughton,45,8.05,86
Turn Left,4,11,episode,21,6,2008,David Tennant,10,Russell T Davies,Graeme Harper,50,8.09,88
The Stolen Earth,4,12,episode,28,6,2008,David Tennant,10,Russell T Davies,Graeme Harper,45,8.78,91
Journey's End,4,13,episode,5,7,2008,David Tennant,10,Russell T Davies,Graeme Harper,63,10.57,91
The Next Doctor,NA,1,special,25,12,2008,David Tennant,10,Russell T Davies,Andy Goddard,60,13.1,86
Planet of the Dead,NA,2,special,11,4,2009,David Tennant,10,Russell T Davies,James Strong,60,9.75,88
Planet of the Dead,NA,2,special,11,4,2009,David Tennant,10,Gareth Roberts,James Strong,60,9.75,88
The Waters of Mars,NA,3,special,15,11,2009,David Tennant,10,Russell T Davies,Graeme Harper,60,10.32,88
The Waters of Mars,NA,3,special,15,11,2009,David Tennant,10,Phil Ford,Graeme Harper,60,10.32,88
The End of Time: Part One,NA,4,special,25,12,2009,David Tennant,10,Russell T Davies,Euros Lyn,60,12.04,87
The End of Time: Part Two,NA,5,special,1,1,2010,David Tennant,10,Russell T Davies,Euros Lyn,75,12.27,89
The Eleventh Hour,5,1,episode,3,4,2010,Matt Smith,11,Steven Moffat,Adam Smith,65,10.09,86
The Beast Below,5,2,episode,10,4,2010,Matt Smith,11,Steven Moffat,Andrew Gunn,45,8.42,86
Victory of the Daleks,5,3,episode,17,4,2010,Matt Smith,11,Mark Gatiss,Andrew Gunn,45,8.21,84
The Time of Angels,5,4,episode,24,4,2010,Matt Smith,11,Steven Moffat,Adam Smith,45,8.59,87
Flesh and Stone,5,5,episode,1,5,2010,Matt Smith,11,Steven Moffat,Adam Smith,45,8.5,86
The Vampires of Venice,5,6,episode,8,5,2010,Matt Smith,11,Toby Whithouse,Jonny Campbell,50,7.68,86
Amy's Choice,5,7,episode,15,5,2010,Matt Smith,11,Simon Nye,Catherine Morshead,45,7.55,84
The Hungry Earth,5,8,episode,22,5,2010,Matt Smith,11,Chris Chibnall,Ashley Way,45,6.49,86
Cold Blood,5,9,episode,29,5,2010,Matt Smith,11,Chris Chibnall,Ashley Way,45,7.49,85
Vincent and the Doctor,5,10,episode,5,6,2010,Matt Smith,11,Richard Curtis,Jonny Campbell,45,6.76,86
The Lodger,5,11,episode,12,6,2010,Matt Smith,11,Gareth Roberts,Catherine Morshead,45,6.44,87
The Pandorica Opens,5,12,episode,19,6,2010,Matt Smith,11,Steven Moffat,Toby Haynes,50,7.57,88
The Big Bang,5,13,episode,26,6,2010,Matt Smith,11,Steven Moffat,Toby Haynes,55,6.7,89
A Christmas Carol,6,NA,special,25,12,2010,Matt Smith,11,Steven Moffat,Toby Haynes,60,12.11,83
The Impossible Astronaut,6,1,episode,23,4,2011,Matt Smith,11,Steven Moffat,Toby Haynes,45,8.86,88
Day of the Moon,6,2,episode,30,4,2011,Matt Smith,11,Steven Moffat,Toby Haynes,45,7.3,87
The Curse of the Black Spot,6,3,episode,7,5,2011,Matt Smith,11,Stephen Thompson,Jeremy Webb,45,7.85,86
The Doctor's Wife,6,4,episode,14,5,2011,Matt Smith,11,Neil Gaiman,Richard Clark,45,7.97,87
The Rebel Flesh,6,5,episode,21,5,2011,Matt Smith,11,Matthew Graham,Julian Simpson,45,7.35,85
The Almost People,6,6,episode,28,5,2011,Matt Smith,11,Matthew Graham,Julian Simpson,45,6.72,86
A Good Man Goes to War,6,7,episode,4,6,2011,Matt Smith,11,Steven Moffat,Peter Hoar,50,7.51,88
Let's Kill Hitler,6,8,episode,27,8,2011,Matt Smith,11,Steven Moffat,Richard Senior,50,8.1,85
Night Terrors,6,9,episode,3,9,2011,Matt Smith,11,Mark Gatiss,Richard Clark,45,7.07,86
The Girl Who Waited,6,10,episode,10,9,2011,Matt Smith,11,Tom MacRae,Nick Hurran,45,7.6,85
