"name","gender","country","sport","birth_date","height","weight","age"
"ARENAS Lorena","Female","Colombia","Athletics",1993-09-17,162,0,30
"BASS BITTAYE Gina Mariam","Female","Gambia","Athletics",1995-05-03,161,0,29
"CAMARA Ebrahima","Male","Gambia","Athletics",1996-09-18,178,0,27
"MAAROUFOU Hachim","Male","Comoros","Athletics",1997-02-13,183,0,27
"ISMAIL Mohamed","Male","Djibouti","Athletics",1997-01-01,170,0,27
"HASSAN Ibrahim","Male","Djibouti","Athletics",1997-01-01,170,0,27
"WAISS Abdi","Male","Djibouti","Athletics",1996-07-03,170,0,28
"HASSAN NOUR Samiyah","Female","Djibouti","Athletics",1999-12-05,160,0,24
"GONZALEZ Alegna","Female","Mexico","Athletics",1999-01-02,158,0,25
"LOPEZ Jesus Tonatiu","Male","Mexico","Athletics",1997-08-02,190,0,26
"PORTILLO Erick","Male","Mexico","Athletics",2000-10-05,190,0,23
"MUNOZ Uziel","Male","Mexico","Athletics",1995-09-08,185,0,28
"del REAL Diego","Male","Mexico","Athletics",1994-03-06,185,0,30
"DOCTOR Jose Luis","Male","Mexico","Athletics",1996-06-14,175,0,28
"MORAN Paola","Female","Mexico","Athletics",1997-02-25,169,0,27
"GALVAN Laura","Female","Mexico","Athletics",1991-10-05,162,0,32
"CORTES Alma Delia","Female","Mexico","Athletics",1997-12-26,160,0,26
"CRISTIAN MOSCOTE Citlali","Female","Mexico","Athletics",1995-04-15,154,0,29
"PALMA OLIVARES Ever Jair","Male","Mexico","Athletics",1992-03-18,168,0,32
"LINARES Natalia","Female","Colombia","Athletics",2003-01-03,171,0,21
"LONGA Ronal","Male","Colombia","Athletics",2004-06-30,183,0,20
"RUIZ HURTADO Flor Denis","Female","Colombia","Athletics",1991-01-29,175,0,33
"ORJUELA Angie","Female","Colombia","Athletics",1989-05-09,158,0,35
"SIMWAKA Asimenye","Female","Malawi","Athletics",1997-08-08,168,0,26
"PEREIRA Veronica Shanti","Female","Singapore","Athletics",1996-09-20,164,0,27
"HERNANDEZ FLORES Margarita","Female","Mexico","Athletics",1985-12-03,149,0,38
"YASEEN Taha Hussein","Male","Iraq","Athletics",1998-01-01,171,0,26
"GIRMA Ermias","Male","Ethiopia","Athletics",2005-01-20,176,0,19
"RIVERA Edgar","Male","Mexico","Athletics",1991-02-13,198,0,33
"TAMAYO-GARZA Cecilia","Female","Mexico","Athletics",1997-03-04,167,0,27
"ALEMU Habitam","Female","Ethiopia","Athletics",1997-07-09,170,0,27
"MESELE Worknesh","Female","Ethiopia","Athletics",2001-06-11,172,0,23
"DUGUMA Tsige","Female","Ethiopia","Athletics",2001-02-23,164,0,23
"FAYISA Abdisa","Male","Ethiopia","Athletics",2005-04-24,173,0,19
"GUERRERO Ilse","Female","Mexico","Athletics",1993-03-24,156,0,31
"CHAMA Noel","Male","Mexico","Athletics",1997-09-15,176,0,26
"ORTIZ Ricardo","Male","Mexico","Athletics",1995-02-07,168,0,29
"FASIHI Farzaneh","Female","IR Iran","Athletics",1993-01-03,161,0,31
"TAFTIAN Hassan","Male","IR Iran","Athletics",1993-05-04,182,0,31
"RICKETTS Shanieka","Female","Jamaica","Athletics",1992-02-02,188,0,32
"HARRIS Naquille","Male","St Kitts and Nevis","Athletics",2002-05-16,175,0,22
"WELTEJI Diribe","Female","Ethiopia","Athletics",2002-05-13,166,0,22
"HAYLOM Birke","Female","Ethiopia","Athletics",2006-01-06,164,0,18
"HAILU Freweyni","Female","Ethiopia","Athletics",2001-02-12,166,0,23
"AREGAWI Berihu","Male","Ethiopia","Athletics",2001-02-28,171,0,23
"KEJELCHA Yomif","Male","Ethiopia","Athletics",1997-08-01,185,0,26
"GEBRHIWET Hagos","Male","Ethiopia","Athletics",1994-05-11,173,0,30
"NGOYE Natacha","Female","Congo","Athletics",1993-08-15,168,0,30
"BAREGA Selemon","Male","Ethiopia","Athletics",2000-01-20,170,0,24
