id,name,state,rainfall,rank,deviation,mean_rainfall,
AL-001,Autauga County,Alabama,61.18,104,7.65,53.53,
AL-003,Baldwin County,Alabama,66.53,86,4.64,61.89,
AL-005,Barbour County,Alabama,49.91,50,-2.37,52.28,
AL-007,Bibb County,Alabama,59.48,92,4.24,55.24,
AL-009,Blount County,Alabama,61.03,93,5.43,55.6,
AL-011,Bullock County,Alabama,55.02,77,2.96,52.06,
AL-013,Butler County,Alabama,59.42,84,3.74,55.68,
AL-015,Calhoun County,Alabama,55.71,77,2.33,53.38,
AL-017,Chambers County,Alabama,54.05,61,0.74,53.31,
AL-019,Cherokee County,Alabama,58.08,89,4.51,53.57,
AL-021,Chilton County,Alabama,61.91,107,7.68,54.23,
AL-023,Choctaw County,Alabama,57.72,74,0.87,56.85,
AL-025,Clarke County,Alabama,54.68,46,-3.23,57.91,
AL-027,Clay County,Alabama,62.69,104,6.86,55.83,
AL-029,Cleburne County,Alabama,57.34,84,3.41,53.93,
AL-031,Coffee County,Alabama,50.06,37,-6.11,56.17,
AL-033,Colbert County,Alabama,58.17,90,4.6,53.57,
AL-035,Conecuh County,Alabama,58.89,68,0.89,58,
AL-037,Coosa County,Alabama,65.02,115,10.37,54.65,
AL-039,Covington County,Alabama,55.53,50,-3.09,58.62,
AL-041,Crenshaw County,Alabama,57.25,75,1.92,55.33,
AL-043,Cullman County,Alabama,59.69,81,3.57,56.12,
AL-045,Dale County,Alabama,49.99,47,-4.39,54.38,
AL-047,Dallas County,Alabama,57.47,95,4.65,52.82,
AL-049,DeKalb County,Alabama,61.1,95,5.61,55.49,
AL-051,Elmore County,Alabama,65.27,114,11.81,53.46,
AL-053,Escambia County,Alabama,61.36,71,0.93,60.43,
AL-055,Etowah County,Alabama,58.2,88,3.74,54.46,
AL-057,Fayette County,Alabama,56.04,66,-0.23,56.27,
AL-059,Franklin County,Alabama,62.16,99,7.45,54.71,
AL-061,Geneva County,Alabama,55.72,59,-1.47,57.19,
AL-063,Greene County,Alabama,57.28,89,4.32,52.96,
AL-065,Hale County,Alabama,57.17,88,3.42,53.75,
AL-067,Henry County,Alabama,51.89,57,-1.44,53.33,
AL-069,Houston County,Alabama,57.68,85,3.54,54.14,
AL-071,Jackson County,Alabama,62.48,102,7.73,54.75,
AL-073,Jefferson County,Alabama,64.08,106,8.51,55.57,
AL-075,Lamar County,Alabama,57.16,76,2.21,54.95,
AL-077,Lauderdale County,Alabama,57.07,82,3.06,54.01,
AL-079,Lawrence County,Alabama,59.58,97,6.15,53.43,
AL-081,Lee County,Alabama,56.16,83,3.88,52.28,
AL-083,Limestone County,Alabama,57.77,83,4.03,53.74,
AL-085,Lowndes County,Alabama,59.72,105,7.37,52.35,
AL-087,Macon County,Alabama,57.97,101,6.26,51.71,
AL-089,Madison County,Alabama,60.75,101,6.38,54.37,
AL-091,Marengo County,Alabama,57.17,86,2.98,54.19,
AL-093,Marion County,Alabama,62.16,98,6.56,55.6,
AL-095,Marshall County,Alabama,60.38,96,5.96,54.42,
AL-097,Mobile County,Alabama,65.57,81,3.08,62.49,
AL-099,Monroe County,Alabama,58.12,71,0.87,57.25,
AL-101,Montgomery County,Alabama,63.13,118,11.02,52.11,
AL-103,Morgan County,Alabama,56.58,79,2.6,53.98,
AL-105,Perry County,Alabama,59.43,99,5.81,53.62,
AL-107,Pickens County,Alabama,56.64,86,3.25,53.39,
AL-109,Pike County,Alabama,51.77,48,-2.58,54.35,
AL-111,Randolph County,Alabama,54.3,57,-0.37,54.67,
AL-113,Russell County,Alabama,52.15,83,2.3,49.85,
AL-115,St. Clair County,Alabama,63.01,105,7.86,55.15,
AL-117,Shelby County,Alabama,67.19,115,12.27,54.92,
AL-119,Sumter County,Alabama,55.45,74,1.35,54.1,
AL-121,Talladega County,Alabama,63.56,111,9.83,53.73,
AL-123,Tallapoosa County,Alabama,58.53,89,4.3,54.23,
AL-125,Tuscaloosa County,Alabama,55.49,72,0.06,55.43,
AL-127,Walker County,Alabama,61.11,89,4.55,56.56,
AL-129,Washington County,Alabama,60.86,72,1.16,59.7,
AL-131,Wilcox County,Alabama,57.1,81,2.83,54.27,
AL-133,Winston County,Alabama,63.33,95,6.89,56.44,
AZ-001,Apache County,Arizona,13.42,75,-0.02,13.44,
AZ-003,Cochise County,Arizona,16.45,94,1.85,14.6,
AZ-005,Coconino County,Arizona,11.81,37,-1.76,13.57,
AZ-007,Gila County,Arizona,17.32,38,-3.38,20.7,
AZ-009,Graham County,Arizona,15.96,77,0.73,15.23,
AZ-011,Greenlee County,Arizona,16.83,71,0.06,16.77,
AZ-012,La Paz County,Arizona,4.77,46,-1.19,5.96,
AZ-013,Maricopa County,Arizona,8.31,62,-0.93,9.24,
AZ-015,Mohave County,Arizona,8.36,30,-2.2,10.56,
AZ-017,Navajo County,Arizona,12.11,72,-0.23,12.34,
AZ-019,Pima County,Arizona,10.83,49,-1.64,12.47,
AZ-021,Pinal County,Arizona,10.72,54,-1.78,12.5,
AZ-023,Santa Cruz County,Arizona,17.86,74,-0.53,18.39,
AZ-025,Yavapai County,Arizona,12.8,33,-3.45,16.25,
AZ-027,Yuma County,Arizona,3.3,34,-1.57,4.87,
AR-001,Arkansas County,Arkansas,39.25,11,-11.76,51.01,
AR-003,Ashley County,Arkansas,46.75,35,-6.28,53.03,
AR-005,Baxter County,Arkansas,49.01,91,5.62,43.39,
AR-007,Benton County,Arkansas,52.04,102,6.73,45.31,
AR-009,Boone County,Arkansas,45.08,73,1.41,43.67,
AR-011,Bradley County,Arkansas,51.1,62,-0.88,51.98,
AR-013,Calhoun County,Arkansas,52.82,70,1.2,51.62,
AR-015,Carroll County,Arkansas,45.92,74,1.24,44.68,
AR-017,Chicot County,Arkansas,48.17,41,-4.74,52.91,
AR-019,Clark County,Arkansas,47.96,48,-3.61,51.57,
AR-021,Clay County,Arkansas,57.18,111,9.39,47.79,
AR-023,Cleburne County,Arkansas,54.14,86,4.14,50,
AR-025,Cleveland County,Arkansas,52.48,71,0.93,51.55,
AR-027,Columbia County,Arkansas,45.91,37,-5.23,51.14,
AR-029,Conway County,Arkansas,47.48,51,-1.52,49,
AR-031,Craighead County,Arkansas,52.75,87,4.25,48.5,
AR-033,Crawford County,Arkansas,47.48,66,-0.21,47.69,
AR-035,Crittenden County,Arkansas,53.01,79,3.04,49.97,
AR-037,Cross County,Arkansas,52.68,79,2.34,50.34,
AR-039,Dallas County,Arkansas,50.83,61,-0.46,51.29,
AR-041,Desha County,Arkansas,45.83,37,-5.62,51.45,
AR-043,Drew County,Arkansas,49.72,55,-2.87,52.59,
AR-045,Faulkner County,Arkansas,51.49,71,1.22,50.27,
AR-047,Franklin County,Arkansas,47.61,62,-0.47,48.08,
AR-049,Fulton County,Arkansas,51.18,93,5.95,45.23,
AR-051,Garland County,Arkansas,46.12,35,-6.47,52.59,
AR-053,Grant County,Arkansas,49.09,57,-2.4,51.49,
AR-055,Greene County,Arkansas,53.67,96,5.92,47.75,
AR-057,Hempstead County,Arkansas,47.02,46,-3.57,50.59,
AR-059,Hot Spring County,Arkansas,45.62,34,-6.71,52.33,
AR-061,Howard County,Arkansas,46.91,43,-5.07,51.98,
AR-063,Independence County,Arkansas,54.7,94,6.36,48.34,
AR-065,Izard County,Arkansas,52.22,97,6.5,45.72,
AR-067,Jackson County,Arkansas,52.49,82,3.8,48.69,
AR-069,Jefferson County,Arkansas,46.95,41,-4.24,51.19,
AR-071,Johnson County,Arkansas,52.72,80,3.3,49.42,
AR-073,Lafayette County,Arkansas,45.19,39,-4.71,49.9,
AR-075,Lawrence County,Arkansas,57.28,112,9.86,47.42,
AR-077,Lee County,Arkansas,54.19,81,3.12,51.07,
AR-079,Lincoln County,Arkansas,48.34,48,-3.87,52.21,
AR-081,Little River County,Arkansas,42.96,34,-5.72,48.68,
AR-083,Logan County,Arkansas,45.25,54,-1.56,46.81,
AR-085,Lonoke County,Arkansas,49.82,64,-0.23,50.05,
AR-087,Madison County,Arkansas,48.76,72,1.11,47.65,
AR-089,Marion County,Arkansas,46.3,80,3.34,42.96,
AR-091,Miller County,Arkansas,44.35,41,-4.59,48.94,
AR-093,Mississippi County,Arkansas,49.5,66,0.93,48.57,
AR-095,Monroe County,Arkansas,44.28,28,-6.27,50.55,
AR-097,Montgomery County,Arkansas,49.75,55,-2.69,52.44,
AR-099,Nevada County,Arkansas,48.71,51,-2.4,51.11,
AR-101,Newton County,Arkansas,48.11,63,-0.1,48.21,
AR-103,Ouachita County,Arkansas,48.52,49,-2.85,51.37,
AR-105,Perry County,Arkansas,46.08,42,-2.88,48.96,
AR-107,Phillips County,Arkansas,45.92,39,-5.76,51.68,
AR-109,Pike County,Arkansas,48.54,48,-4.38,52.92,
AR-111,Poinsett County,Arkansas,51.62,76,2.51,49.11,
AR-113,Polk County,Arkansas,50.23,59,-2.57,52.8,
AR-115,Pope County,Arkansas,49.34,66,-0.02,49.36,
AR-117,Prairie County,Arkansas,46.34,47,-3.75,50.09,
AR-119,Pulaski County,Arkansas,49.09,58,-1.58,50.67,
AR-121,Randolph County,Arkansas,57.01,112,9.81,47.2,
AR-123,St. Francis County,Arkansas,53.37,77,2.5,50.87,
AR-125,Saline County,Arkansas,47.26,38,-4.87,52.13,
AR-127,Scott County,Arkansas,48.41,66,0.06,48.35,
AR-129,Searcy County,Arkansas,48.44,73,2.01,46.43,
AR-131,Sebastian County,Arkansas,48.63,82,3.25,45.38,
AR-133,Sevier County,Arkansas,43.52,31,-7.08,50.6,
AR-135,Sharp County,Arkansas,55.37,104,8.43,46.94,
AR-137,Stone County,Arkansas,53.33,95,5.74,47.59,
AR-139,Union County,Arkansas,49.08,53,-3.12,52.2,
AR-141,Van Buren County,Arkansas,51.54,68,1.02,50.52,
AR-143,Washington County,Arkansas,48,67,0.91,47.09,
AR-145,White County,Arkansas,51.67,72,1.48,50.19,
AR-147,Woodruff County,Arkansas,48.4,58,-1.49,49.89,
AR-149,Yell County,Arkansas,46.3,55,-1.93,48.23,
CA-001,Alameda County,California,14.7,42,-4.1,18.8,
CA-003,Alpine County,California,30.66,50,-5.57,36.23,
CA-005,Amador County,California,27.88,44,-7.42,35.3,
CA-007,Butte County,California,30.53,24,-13.97,44.5,
CA-009,Calaveras County,California,25.87,37,-8.48,34.35,
CA-011,Colusa County,California,15.25,27,-6.8,22.05,
CA-013,Contra Costa County,California,14.48,42,-4.06,18.54,
CA-015,Del Norte County,California,63.83,30,-16.28,80.11,
CA-017,El Dorado County,California,37.88,47,-6.85,44.73,
CA-019,Fresno County,California,13.18,19,-6.47,19.65,
CA-021,Glenn County,California,16.14,22,-9.79,25.93,
CA-023,Humboldt County,California,43.26,13,-20.24,63.5,
CA-025,Imperial County,California,1.31,10,-2.07,3.38,
CA-027,Inyo County,California,4.23,23,-2.03,6.26,
CA-029,Kern County,California,6.28,26,-2.8,9.08,
CA-031,Kings County,California,5.44,32,-2.19,7.63,
CA-033,Lake County,California,30.57,26,-12.99,43.56,
CA-035,Lassen County,California,17.28,44,-3.17,20.45,
CA-037,Los Angeles County,California,10.6,37,-5.01,15.61,
CA-039,Madera County,California,15.54,20,-7.64,23.18,
CA-041,Marin County,California,27.66,39,-7.91,35.57,
CA-043,Mariposa County,California,21.51,21,-11.39,32.9,
CA-045,Mendocino County,California,37.54,25,-14.18,51.72,
CA-047,Merced County,California,7.52,20,-3.78,11.3,
CA-049,Modoc County,California,15.44,45,-2.67,18.11,
CA-051,Mono County,California,13.03,55,-2.64,15.67,
CA-053,Monterey County,California,13.52,23,-6.65,20.17,
CA-055,Napa County,California,22.88,32,-8.28,31.16,
CA-057,Nevada County,California,44.6,51,-5.87,50.47,
CA-059,Orange County,California,7.44,13,-6.15,13.59,
CA-061,Placer County,California,40.89,52,-4.98,45.87,
CA-063,Plumas County,California,34.66,48,-6.67,41.33,
CA-065,Riverside County,California,4.04,10,-4.47,8.51,
CA-067,Sacramento County,California,14.64,36,-4.09,18.73,
CA-069,San Benito County,California,10.74,17,-6.06,16.8,
CA-071,San Bernardino County,California,4.07,16,-2.81,6.88,
CA-073,San Diego County,California,8.73,22,-5.58,14.31,
CA-075,San Francisco County,California,20.99,51,-3.38,24.37,
CA-077,San Joaquin County,California,10.84,40,-3.24,14.08,
CA-079,San Luis Obispo County,California,11.08,22,-6.14,17.22,
CA-081,San Mateo County,California,22.31,42,-6.44,28.75,
CA-083,Santa Barbara County,California,11.8,25,-7.09,18.89,
CA-085,Santa Clara County,California,17.78,37,-5.4,23.18,
CA-087,Santa Cruz County,California,27.08,46,-6.07,33.15,
CA-089,Shasta County,California,28.63,15,-13.37,42,
CA-091,Sierra County,California,41.91,57,-3.95,45.86,
CA-093,Siskiyou County,California,26.48,16,-12.42,38.9,
CA-095,Solano County,California,15.28,40,-4.56,19.84,
CA-097,Sonoma County,California,31.1,32,-11.03,42.13,
CA-099,Stanislaus County,California,10.09,33,-3.59,13.68,
CA-101,Sutter County,California,13.23,22,-5.79,19.02,
CA-103,Tehama County,California,24.25,17,-12.34,36.59,
CA-105,Trinity County,California,35.45,9,-22.15,57.6,
CA-107,Tulare County,California,16.04,36,-5.86,21.9,
CA-109,Tuolumne County,California,28.83,26,-12.13,40.96,
CA-111,Ventura County,California,15.94,52,-4.52,20.46,
CA-113,Yolo County,California,15.86,40,-4.19,20.05,
CA-115,Yuba County,California,28.47,34,-9.33,37.8,
CO-001,Adams County,Colorado,10.71,6,-4.44,15.15,
CO-003,Alamosa County,Colorado,11.89,99,1.52,10.37,
CO-005,Arapahoe County,Colorado,11.18,7,-4.71,15.89,
CO-007,Archuleta County,Colorado,22.33,60,-1.05,23.38,
