"track","artist","genre","total_words","good_words","unique_words"
"Amazed","Lonestar","COUNTRY",60,11,10
"Neon Moon","Brooks & Dunn","COUNTRY",35,17,9
"Meet In the Middle","Diamond Rio","COUNTRY",42,14,11
"She's In Love With The Boy - Single Version","Trisha Yearwood","COUNTRY",279,206,132
"She Won't Be Lonely Long","Clay Walker","COUNTRY",60,22,14
"I'm Alright","Jo Dee Messina","COUNTRY",15,6,5
"Sold (The Grundy County Auction Incident)","John Michael Montgomery","COUNTRY",111,36,32
"Forever and Ever, Amen","Randy Travis","COUNTRY",23,10,6
"You're Gonna Miss This","Trace Adkins","COUNTRY",64,19,9
"Bubba Shot The Jukebox","Mark Chesnutt","COUNTRY",21,14,8
"Watermelon Crawl","Tracy Byrd","COUNTRY",53,23,18
"Love, Me","Collin Raye","COUNTRY",269,64,48
"Pickup Man","Joe Diffie","COUNTRY",81,25,22
"She Don't Know She's Beautiful","Sammy Kershaw","COUNTRY",175,37,9
"Time Marches On","Tracy Lawrence","COUNTRY",32,22,10
"Redneck Yacht Club","Craig Morgan","COUNTRY",120,98,31
"Suds in the Bucket","Sara Evans","COUNTRY",48,17,16
"Better Things To Do","Terri Clark","COUNTRY",121,29,27
"Killin' Time","Clint Black","COUNTRY",15,6,4
"Would You Go With Me","Josh Turner","COUNTRY",77,17,17
"Redneck Woman","Gretchen Wilson","COUNTRY",235,94,46
"Caught Up In The Country","Rodney Atkins","COUNTRY",204,63,28
"Tequila Makes Her Clothes Fall Off","Joe Nichols","COUNTRY",87,40,23
"Fancy","Reba McEntire","COUNTRY",255,82,73
"Independence Day","Martina McBride","COUNTRY",11,7,6
"Save a Horse (Ride a Cowboy)","Big & Rich","COUNTRY",179,65,46
"7500 OBO","Tim McGraw","COUNTRY",11,7,4
"Song of the South","Alabama","COUNTRY",185,74,47
"Good Directions","Billy Currington","COUNTRY",11,6,5
"Some Girls Do","Sawyer Brown","COUNTRY",23,7,4
"This Kiss","Faith Hill","COUNTRY",156,108,18
"Two Dozen Roses","Shenandoah","COUNTRY",142,43,22
"Chicks Dig It - Single Edit","Chris Cagle","COUNTRY",336,142,77
"I Hope You Dance","Lee Ann Womack","COUNTRY",116,33,9
"Whiskey Lullaby (feat. Alison Krauss)","Brad Paisley","COUNTRY",59,59,6
"Every Storm (Runs Out Of Rain)","Gary Allan","COUNTRY",26,13,10
"Just Another Day In Paradise","Phil Vassar","COUNTRY",40,15,11
"Life is a Highway","Rascal Flatts","COUNTRY",224,96,18
"Something to Be Proud Of","Montgomery Gentry","COUNTRY",36,7,3
"Girl Crush","Little Big Town","COUNTRY",23,11,9
"Go Rest High On That Mountain","Vince Gill","COUNTRY",19,8,8
"Check Yes Or No","George Strait","COUNTRY",21,7,3
"You've Got to Stand for Something","Aaron Tippin","COUNTRY",295,54,30
"Straight Tequila Night","John Anderson","COUNTRY",249,92,45
