track,artist,genre,release_date,year,word_count,unique_words
It's Gonna Be Me,*NSYNC,dance_pop,2000-03-21,2000,351,150
Peaches & Cream,112,dance_pop,2001,2001,609,179
Million Dollars Worth of Game (feat. 42 Dugg),2 Chainz,hip_hop,2022-02-04,2022,556,395
I Am The Best,2NE1,dance_pop,2014-12-09,2014,335,145
Amber,311,rock,2001-06-19,2001,181,94
Dirty Mind,3OH!3,dance_pop,2011-12-20,2011,473,100
She Looks So Perfect,5 Seconds of Summer,dance_pop,2014-06-27,2014,332,132
In Da Club,50 Cent,hip_hop,2003-02-06,2003,703,277
That's Love Ft. Mac Miller & Heather Victoria,9th Wonder,hip_hop,2011-09-27,2011,626,260
Judith,A Perfect Circle,rock,2000-01-01,2000,214,99
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg,hip_hop,2019-08-16,2019,507,259
Yamborghini High (feat. Juicy J),A$AP Mob,hip_hop,2016-01-29,2016,342,182
Sundress,A$AP Rocky,hip_hop,2018-11-20,2018,282,156
Upside Down,A*Teens,dance_pop,2001-02-26,2001,272,119
Caught in the Middle,A1,dance_pop,2001,2001,393,114
Like Strangers Do,AJ Mitchell,dance_pop,2019-10-18,2019,290,120
Chasing Highs,ALMA,dance_pop,2017-03-23,2017,361,108
Sail,AWOLNATION,rock,2011-03-15,2011,135,58
Are You That Somebody?,Aaliyah,dance_pop,2002,2002,558,202
"Country Boy (feat. Charlie Daniels, Chris Young, & George Jones)",Aaron Lewis,country,2011-11-01,2011,498,263
Let Go,Aaron May,hip_hop,2019-02-28,2019,433,221
Kiss This,Aaron Tippin,country,2000-01-01,2000,333,142
Freight Train,Aaron Watson,country,2015-02-17,2015,374,180
Illuminate (feat. Kendrick Lamar),Ab-Soul,hip_hop,2012-05-11,2012,881,392
Life's a Bitch,Accept,rock,2019-04-19,2019,237,134
We Ball,Ace Hood,hip_hop,2020-05-29,2020,515,227
Imported Goods,Action Bronson,hip_hop,2010-08-27,2010,657,377
Coulda Loved You Longer,Adam Doleac,country,2021-04-23,2021,403,120
Ghost Town,Adam Lambert,dance_pop,2015-06-11,2015,237,114
Obsessed,Addison Rae,dance_pop,2021-03-18,2021,293,117
I'm On Ya,Adonna,dance_pop,2000,2000,642,301
None Shall Pass,Aesop Rock,hip_hop,2007-08-27,2007,622,323
Ten Feet Tall,Afrojack,dance_pop,2014-01-01,2014,231,103
Equality,Afu-Ra,hip_hop,2000-10-24,2000,470,293
Release Me,Agnes,dance_pop,2009-04-01,2009,354,108
Runnin' Wild,Airbourne,rock,2007-01-01,2007,389,114
Bananza (Belly Dancer),Akon,dance_pop,2005-01-01,2005,601,225
This Feeling,Alabama Shakes,rock,2021-10-29,2021,222,91
Your Makeup Is Terrible,Alaska Thunderfuck,dance_pop,2015-06-23,2015,473,183
Set to Attack,Albert Hammond Jr,rock,2018-03-09,2018,195,92
Out Of Love,Alessia Cara,dance_pop,2018-11-30,2018,241,101
When I’m Gone (with Katy Perry),Alesso,dance_pop,2021-12-29,2021,310,234
Stuck on the puzzle,Alex Turner,rock,2011-03-14,2011,233,126
Broken Heels - Single Mix,Alexandra Burke,dance_pop,2009,2009,487,136
Mr. Saxobeat - Radio Edit,Alexandra Stan,dance_pop,2011-11-16,2011,340,69
Movies,Alien Ant Farm,rock,2001-01-01,2001,205,83
Black Coffee,All Saints,dance_pop,2000-08-16,2000,371,117
"Dear Maria, Count Me In",All Time Low,rock,2007-09-25,2007,354,146
Alright (feat. KIDDO),Alle Farben,dance_pop,2021-09-17,2021,341,107
Susie Save Your Love,Allie X,dance_pop,2020-02-21,2020,259,111
Fascination,Alphabeat,dance_pop,2008-01-01,2008,313,77
Metalingus,Alter Bridge,rock,2004-08-10,2004,213,95
Slow Dancing,Aly & AJ,dance_pop,2021-05-07,2021,250,106
I Choose You,Amanda Jordan,country,2022-01-07,2022,198,100
