id,track,artist,genre,year,word_count,unique_words
3EUl8M6SzxZl03NPkB8mUd,Neon Moon,Brooks & Dunn,country,2009,314,145
0158TMiGmHyibaDeaUKayX,She Won't Be Lonely Long,Clay Walker,country,2010,253,101
7Efs0OIW6zgQyH7ehKZYpN,You're Gonna Miss This,Trace Adkins,country,2007,298,157
4etE2X6t7GmyiuYLIdI8H5,Redneck Yacht Club,Craig Morgan,country,2005,353,149
19zb0fxeiJqCLYHj6L8iYG,Suds in the Bucket,Sara Evans,country,2003,382,165
1KhrAWvLIjRlQIJtSTgvsi,Would You Go With Me,Josh Turner,country,2006,249,108
26bL4gSULWDgdIMX0pRFrG,Redneck Woman,Gretchen Wilson,country,2004,397,175
4aGG4VOWGv9RwlYQNsBrkE,Caught Up In The Country,Rodney Atkins,country,2019,348,138
6IC6VhpV7D8T1t037Atqpu,Tequila Makes Her Clothes Fall Off,Joe Nichols,country,2005,227,129
5s7m2xNZWgz5FqVSIvJcGA,Save a Horse (Ride a Cowboy),Big & Rich,country,2004,383,182
7A4WmJcWx6KrVRfQ2CP8e7,7500 OBO,Tim McGraw,country,2020,453,158
7GQjJEwqlp6m5HNWVQd6OR,Good Directions,Billy Currington,country,2005,311,166
0nprj2O0teCglthuhzTG5o,Chicks Dig It - Single Edit,Chris Cagle,country,2003,325,143
65B1tEOv5W294uCKbmEcFV,I Hope You Dance,Lee Ann Womack,country,2000,328,135
6iblnklMzUKIXAtjk5lzIy,Whiskey Lullaby (feat. Alison Krauss),Brad Paisley,country,2003,364,136
6s3dgEQgen7G85NtYUTEbD,Every Storm (Runs Out Of Rain),Gary Allan,country,2013,249,115
4LlNoNZflek4hZyZigCxpW,Just Another Day In Paradise,Phil Vassar,country,2000,317,160
2Fs18NaCDuluPG1DHGw1XG,Life is a Highway,Rascal Flatts,country,2006,446,178
4D8uIY6Wzj7dJDaw0dW0UF,Something to Be Proud Of,Montgomery Gentry,country,2004,489,244
11qh54D0PKkBwelpDxxiEU,Girl Crush,Little Big Town,country,2014,204,92
3X7H1FAiWAW937WvsFeMhe,One Too Many,Keith Urban,country,2020,434,178
0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,Sugarland,country,2010,570,169
6F7UOC6fPWOkPqybOWBHSv,If I Was a Cowboy,Miranda Lambert,country,2021,346,136
18BajNiyvH6GpYshB0unrm,Should've Been A Cowboy,Toby Keith,country,2008,291,143
4TCeFZNjGNQIpCuZmJkkE2,God's Country,Blake Shelton,country,2019,398,146
1dgWTMoHwTUnQhOQ8SR5fV,American Kids,Kenny Chesney,country,2014,349,154
4qkshp4FWe0msInDWTbBlR,God Blessed Texas,Little Texas,country,2007,153,99
19ZzEzb4BVK1wVO4brrmZz,Beers On Me,Dierks Bentley,country,2021,432,200
3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,Darius Rucker,country,2013,373,152
5JWuz7zukN8z9JLNm29U5K,Have You Forgotten?,Darryl Worley,country,2003,294,160
6aUhfNWYnMThF3TGtuYUUu,How Country Feels,Randy Houser,country,2013,270,104
7vF3xkCMvZjAe2nTWY0uQZ,Made For You,Jake Owen,country,2019,240,107
7GAaTpSoTWUTbP2Yxlt4Hd,Need You Now,Lady A,country,2010,316,128
5NhZkLMccDVhxocmVHDu4G,Livin' Our Love Song,Jason Michael Carroll,country,2007,232,148
05ZACkzW8YbRq3eFgIfSNB,Springsteen,Eric Church,country,2011,342,180
6XD3HMATLswheYevIfKkSi,All Over The Road,Easton Corbin,country,2012,276,124
00KyYtT6NaXwbPecina5Pj,Famous Friends,Chris Young,country,2021,308,128
41EYTKX66PslehSVrFdT4p,Just Got Paid,Emerson Drive,country,2017,374,138
4u26EevCNXMhlvE1xFBJwX,If I Die Young,The Band Perry,country,2010,372,179
2GgIDaPLsowybB3WgxLWUj,Pickin' Wildflowers,Keith Anderson,country,2005,243,112
7dFSHwa7BNZvWlOuYsvFpy,Red High Heels,Kellie Pickler,country,2006,319,125
6gcNSi6b9gvDBjYO059lrF,Outskirts of Heaven,Craig Campbell,country,2018,268,126
5UzU0qw21okODBNUnxptVo,"Lover, Lover",Jerrod Niemann,country,2010,334,119
0Iuw6WPws324i7G7sCejTX,We Didn't Have Much,Justin Moore,country,2021,294,134
7CX9JYwpiObnYl2NzFqj4c,Smoky Mountain Rain,Ronnie Milsap,country,2019,249,120
7oiCqfE8Wjk8wf0pFTgL2H,Nothin' To Lose,Josh Gracin,country,2004,361,129
7CNd7rjfVt74TFlcOcnZgN,In Color,Jamey Johnson,country,2008,337,154
2enprHJA0siL33w7TaN7VH,Pour Me,Trick Pony,country,2001,309,118
0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,Carrie Underwood,country,2005,291,119
1WQ40xJSvgDmD9K7ckJwux,If I Didn't Love You,Jason Aldean,country,2021,402,136
