album,track_name,line,lyric,element,element_artist
Taylor Swift,Tim McGraw,1,He said the way my blue eyes shined,Verse 1,Taylor Swift
Taylor Swift,Tim McGraw,2,Put those Georgia stars to shame that night,Verse 1,Taylor Swift
Taylor Swift,Tim McGraw,3,"I said, ""That's a lie""",Verse 1,Taylor Swift
Taylor Swift,Tim McGraw,4,Just a boy in a Chevy truck,Verse 1,Taylor Swift
Taylor Swift,Tim McGraw,5,That had a tendency of gettin' stuck,Verse 1,Taylor Swift
Taylor Swift,Tim McGraw,6,On backroads at night,Verse 1,Taylor Swift
Taylor Swift,Tim McGraw,7,And I was right there beside him all summer long,Verse 1,Taylor Swift
Taylor Swift,Tim McGraw,8,And then the time we woke up to find that summer gone,Verse 1,Taylor Swift
Taylor Swift,Tim McGraw,9,But when you think Tim McGraw,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,10,I hope you think my favorite song,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,11,The one we danced to all night long,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,12,The moon like a spotlight on the lake,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,13,When you think happiness,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,14,I hope you think that little black dress,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,15,Think of my head on your chest,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,16,And my old faded blue jeans,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,17,When you think Tim McGraw,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,18,I hope you think of me,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,19,September saw a month of tears,Verse 2,Taylor Swift
Taylor Swift,Tim McGraw,20,And thankin' God that you weren't here,Verse 2,Taylor Swift
Taylor Swift,Tim McGraw,21,To see me like that,Verse 2,Taylor Swift
Taylor Swift,Tim McGraw,22,But in a box beneath my bed,Verse 2,Taylor Swift
Taylor Swift,Tim McGraw,23,Is a letter that you never read,Verse 2,Taylor Swift
Taylor Swift,Tim McGraw,24,From three summers back,Verse 2,Taylor Swift
Taylor Swift,Tim McGraw,25,It's hard not to find it all a little bittersweet,Verse 2,Taylor Swift
Taylor Swift,Tim McGraw,26,"And lookin' back on all of that, it's nice to believe",Verse 2,Taylor Swift
Taylor Swift,Tim McGraw,27,When you think Tim McGraw,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,28,I hope you think my favorite song,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,29,The one we danced to all night long,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,30,The moon like a spotlight on the lake,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,31,When you think happiness,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,32,I hope you think that little black dress,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,33,Think of my head on your chest,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,34,And my old faded blue jeans,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,35,When you think Tim McGraw,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,36,I hope you think of me,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,37,And I'm back for the first time since then,Bridge,Taylor Swift
Taylor Swift,Tim McGraw,38,I'm standin' on your street,Bridge,Taylor Swift
Taylor Swift,Tim McGraw,39,And there's a letter left on your doorstep,Bridge,Taylor Swift
Taylor Swift,Tim McGraw,40,And the first thing that you'll read is:,Bridge,Taylor Swift
Taylor Swift,Tim McGraw,41,"""When you think Tim McGraw",Bridge,Taylor Swift
Taylor Swift,Tim McGraw,42,I hope you think my favorite song,Bridge,Taylor Swift
Taylor Swift,Tim McGraw,43,Someday you'll turn your radio on,Bridge,Taylor Swift
Taylor Swift,Tim McGraw,44,"I hope it takes you back to that place""",Bridge,Taylor Swift
Taylor Swift,Tim McGraw,45,When you think happiness,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,46,I hope you think that little black dress,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,47,Think of my head on your chest,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,48,And my old faded blue jeans,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,49,When you think Tim McGraw,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,50,I hope you think of me,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,51,"Oh, think of me",Chorus,Taylor Swift
Taylor Swift,Tim McGraw,52,Mmmm,Chorus,Taylor Swift
Taylor Swift,Tim McGraw,53,He said the way my blue eyes shine,Outro,Taylor Swift
Taylor Swift,Tim McGraw,54,Put those Georgia stars to shame that night,Outro,Taylor Swift
Taylor Swift,Tim McGraw,55,"I said, ""That's a lie""",Outro,Taylor Swift
Taylor Swift,Picture To Burn,1,"State the obvious, I didn't get my perfect fantasy",Verse 1,Taylor Swift
Taylor Swift,Picture To Burn,2,I realize you love yourself more than you could ever love me,Verse 1,Taylor Swift
Taylor Swift,Picture To Burn,3,So go and tell your friends that I'm obsessive and crazy,Verse 1,Taylor Swift
Taylor Swift,Picture To Burn,4,"That's fine, you won't mind if I say",Verse 1,Taylor Swift
Taylor Swift,Picture To Burn,5,By the way,Verse 1,Taylor Swift
Taylor Swift,Picture To Burn,6,I hate that stupid old pickup truck you never let me drive,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,7,You're a redneck heartbreak who's really bad at lying,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,8,So watch me strike a match on all my wasted time,Chorus,Taylor Swift
Taylor Swift,Picture To Burn,9,"As far as I'm concerned, you're just another picture to burn",Chorus,Taylor Swift
Taylor Swift,Picture To Burn,10,There's no time for tears,Verse 2,Taylor Swift
Taylor Swift,Picture To Burn,11,I'm just sitting here planning my revenge,Verse 2,Taylor Swift
Taylor Swift,Picture To Burn,12,There's nothing stopping me,Verse 2,Taylor Swift
Taylor Swift,Picture To Burn,13,From going out with all of your best friends,Verse 2,Taylor Swift
Taylor Swift,Picture To Burn,14,And if you come around saying sorry to me,Verse 2,Taylor Swift
