county_id,county_state,metro,ruc,economic,population,no_hs,high_school,some_college,bachelor,poverty,minor_poverty,home_income
1,"Autauga County,AL",Yes,2,0,55086,0.113,0.326,0.284,0.277,0.138,0.193,59338
2,"Baldwin County,AL",Yes,3,5,203727,0.097,0.276,0.313,0.313,0.098,0.139,57588
3,"Barbour County,AL",No,6,3,26054,0.27,0.357,0.251,0.122,0.309,0.439,34382
4,"Bibb County,AL",Yes,1,0,22589,0.168,0.473,0.244,0.115,0.218,0.278,46064
5,"Blount County,AL",Yes,1,0,57571,0.198,0.34,0.335,0.126,0.132,0.18,50412
6,"Bullock County,AL",No,6,3,10452,0.248,0.397,0.223,0.133,0.425,0.683,29267
7,"Butler County,AL",No,6,0,20160,0.154,0.439,0.246,0.161,0.245,0.363,37365
8,"Calhoun County,AL",Yes,3,4,115654,0.159,0.324,0.337,0.18,0.195,0.265,45400
9,"Chambers County,AL",No,6,0,33865,0.186,0.384,0.297,0.132,0.187,0.307,39917
10,"Cherokee County,AL",No,6,0,25865,0.198,0.383,0.29,0.129,0.163,0.247,42132
11,"Chilton County,AL",Yes,1,0,43873,0.178,0.441,0.24,0.142,0.173,0.233,47547
12,"Choctaw County,AL",No,9,3,13201,0.186,0.382,0.302,0.13,0.221,0.321,39907
13,"Clarke County,AL",No,7,3,24619,0.188,0.437,0.249,0.126,0.228,0.317,40741
14,"Clay County,AL",No,9,3,13470,0.245,0.363,0.291,0.102,0.176,0.258,39201
15,"Cleburne County,AL",No,8,0,14944,0.226,0.396,0.241,0.137,0.16,0.229,46495
16,"Coffee County,AL",No,4,0,51096,0.138,0.279,0.349,0.234,0.138,0.219,55122
17,"Colbert County,AL",Yes,3,0,54583,0.156,0.36,0.297,0.187,0.138,0.21,49055
18,"Conecuh County,AL",No,7,0,12635,0.192,0.488,0.213,0.107,0.244,0.401,32613
19,"Coosa County,AL",No,8,3,10985,0.204,0.386,0.295,0.116,0.189,0.301,42423
20,"Covington County,AL",No,6,0,37412,0.171,0.354,0.325,0.149,0.199,0.295,40203
21,"Crenshaw County,AL",No,8,3,13865,0.216,0.388,0.24,0.156,0.195,0.308,39057
